customer_code,customer_name,customer_group,email
C00001,SEDANO'S #05,SEDANO'S,SEDANOS05@SEDANOS.COM
C00002,SEDANO'S #20,SEDANO'S,SEDANOS20@SEDANOS.COM
C00003,RETAIL,OTHER,MENCHUDO@AOL.COM
C00004,SEDANO'S #07,SEDANO'S,SEDANOS07@SEDANOS.COM
C00005,SEDANO'S #24,SEDANO'S,SEDANOS24@SEDANOS.COM
C00006,SEDANO'S #21,SEDANO'S,SEDANOS21@SEDANOS.COM
C00007,SEDANO'S #18,SEDANO'S,SEDANOS18@SEDANOS.COM
C00008,SEDANO'S #15,SEDANO'S,SEDANOS15@SEDANOS.COM
C00009,SEDANO'S #22,SEDANO'S,SEDANOS22@SEDANOS.COM
C00010,SEDANO'S #14,SEDANO'S,SEDANOS14@SEDANOS.COM
C00011,SEDANO'S #17,SEDANO'S,SEDANOS17@SEDANOS.COM
C00012,SEDANO'S #09,SEDANO'S,SEDANOS09@SEDANOS.COM
C00013,SEDANO'S #27,SEDANO'S,SEDANOS27@SEDANOS.COM
C00014,SEDANO'S #10,SEDANO'S,SEDANOS10@SEDANOS.COM
C00015,JUNGLE ISLAND,OTHER,NALMODOVAR@JUNGLEISLAND.COM
C00016,SEDANO'S #16,SEDANO'S,SEDANOS16@SEDANOS.COM
C00017,SEDANO'S #26,SEDANO'S,SEDANOS26@SEDANOS.COM
C00018,SEDANO'S #11,SEDANO'S,SEDANOS11@SEDANOS.COM
C00019,SEDANO'S #08,SEDANO'S,SEDANOS08@SEDANOS.COM
C00020,SEDANO'S #23,SEDANO'S,EMARTIN@SEDANOS.COM
C00021,PERRICONE'S,OTHER,JCDC13@YAHOO.COM
C00022,UMIAMI-CHARTWELLS:UMIAMI_AUX SERVICES,CHARTWELLS,M.MCCLENDON@MIAMI.EDU
C00023,PENNY'S DEPARTMENT,OTHER,PENNYS@PENNYSONLINE.COM
C00024,SEDANO'S #04,SEDANO'S,SEDANOS04@SEDANOS.COM
C00025,WORLD INTERNATIONAL SECURITY,OTHER,OBDANIEL@BELLSOUTH.NET
C00026,SEDANO'S #30,SEDANO'S,SEDANOS30@SEDANOS.COM
C00027,SEDANO'S #28,SEDANO'S,SEDANOS28@SEDANOS.COM
C00028,SEDANO'S #29,SEDANO'S,SEDANOS29@SEDANOS.COM
C00029,SOUTHERN ALARM & SECURITY SYSTEMS,OTHER,FERNANDO@SOUTHERNALARMFL.COM
C00030,ROWLAND COFFEE,OTHER,JUANA.GUTIERREZ@ROWLAND.COFFEE
C00031,GARCIA'S SEAFOOD,OTHER,GFISHBURN23@AOL.COM
C00032,SEDANO'S #31,SEDANO'S,SEDANOS31@SEDANOS.COM
C00033,SEDANO'S #32,SEDANO'S,SEDANOS32@SEDANOS.COM
C00034,MIAMI PARKING AUTHORITY,OTHER,YREYES@MIAMIPARKING.COM
C00035,GLOBAL MIAMI J.V.,OTHER,ESALAZ@GLOBALMIA.COM
C00036,SEDANO'S #33,SEDANO'S,SEDANOS33@SEDANOS.COM
C00037,SEDANO'S #34,SEDANO'S,SEDANOS34@SEDANOS.COM
C00038,REIMAGINED PARKING - PARK ONE,REIMAGINED PARKING,INVOICES@REIMAGINEDPARKING.COUPAHOST.COM
C00039,ALBERT'S WHOLESALE & MARKET PLACE,OTHER,LAKESMARKET@ANGUILLANET.COM
C00040,MUNICIPAL MOTORS,OTHER,ANGLADE70@HOTMAIL.COM
C00041,SPICE ISLAND BEACH RESORT,OTHER,JANELLEHOPKIN@SPICEBEACHRESORT.COM
C00042,SEDANO'S #01,SEDANO'S,SEDANOS01@SEDANOS.COM
C00043,"WELLPATH- PEMBROKE PINES, FL",WELLPATH,MIMOORE@WELLPATH.US
C00044,INN ON 5TH,OTHER,CATHY.CHRISTOPHER@NOBLEHOUSEHOTELS.COM
C00045,PLANTERS INN,OTHER,MARC@SAVANNAHPLANTERSINN.COM
C00046,LEE GOLDSTEIN CONSTRUCTION,OTHER,BETSY@LGCMIAMI.COM
C00047,SEDANO'S #35,SEDANO'S,SEDANOS35@SEDANOS.COM
C00048,GEORGIAN TERRACE,OTHER,
C00049,PEABODY HOTEL,HHOA,ASHLEY.MCCALL@PEABODYMEMPHIS.COM
C00050,CIRCA 1886 RESTAURANT,OTHER,MSEVERS@CHARMINGINNS.COM
C00051,LA PLAYA BEACH & GOLF RESORT,OTHER,
C00052,SEDANO'S #36,SEDANO'S,SEDANOS36@SEDANOS.COM
C00053,MVP VALET PARKING,OTHER,JULIO.E.PARDO@MVPPARKING.NET
C00054,IRON HORSE COUNTRY CLUB,OTHER,HHALBAKKEN@IRONHORSEMT.COM
C00055,US PARKING,OTHER,SPERDOMO@USPARKINGINC.COM
C00056,SBG - CHESTERFIELD HOTEL,SOUTH BEACH GRP,ANDY.CARBALLO@SOUTHBEACHGROUP.COM
C00057,SOLE EAST RESORT,OTHER,CINDI@SOLEEAST.COM
C00058,WENTWORTH HOTEL,OTHER,
C00059,CITRUS HILLS COUNTRY CLUB,OTHER,LEE@CITRUSHILLS.COM
C00060,WESTWOOD CATERING LTD.,OTHER,PAULDESRIS@GMAIL.COM
C00061,RS PARKING,OTHER,RSPARKING@HOTMAIL.COM
C00062,SOUTH FLORIDA NATIONAL PARKS TRUST,OTHER,KMURPHY@SOUTHFLORIDAPARKS.ORG
C00063,CORAL GABLES PLUMBING,OTHER,BETTY@CORALGABLESPLUMBING.COM
C00064,"BAIRES VALET PARKING, INC.",OTHER,TUQUI_18@HOTMAIL.COM
C00065,SHELL POINT RETIREMENT COMMUNITY,OTHER,HOMECARE@SHELLPOINT.ORG
C00066,DISCOVERY POINT CLUB,OTHER,VACATION@DISCOVERYPOINTCLUB.COM
C00067,BASIN PARK HOTEL,OTHER,CODYROBERTS1905@GMAIL.COM
C00068,UMIAMI-CHARTWELLS:UMIAMI-CHARTWELLS RETAIL,CHARTWELLS,ROSHENA.CHARLTON@COMPASS-USA.COM
C00069,UMIAMI-CHARTWELLS:UMIAMI-CHARTWELLS CATERING,CHARTWELLS,W.FRANKLIN@MIAMI.EDU
C00070,PONTE VEDRA INN & CLUB,OTHER,SSTEPHENS@PVRESORTS.COM
C00071,FISHER ISLAND CLUB,OTHER,CRIVERA@FISHERISLANDCLUB.COM
C00072,GRAND BEACH HOTEL,GRAND BEACH,SVARGAS@GRANDBEACHHOTEL.COM
C00073,INN AT CHRISTMAS PLACE,OTHER,JAN@INNATCHRISTMASPLACE.COM
C00075,SEDANO'S #37,SEDANO'S,SEDANOS37@SEDANOS.COM
C00076,FLAGSHIP RESORT,OTHER,MARYP@60NORTH.NET
C00077,TURNIP ROSE,OTHER,NEDDSHERBANEE@TURNIPROSE.COM
C00079,ROSEN SHINGLE CREEK RESORT,ROSEN,MMEDINA@ROSENHOTELS.COM
C00080,KOMBERT CATERERS,OTHER,PARTY@KOMBERTCATERERS.COM
C00081,ROSEN CENTRE HOTEL,ROSEN,ROSENPURCHASING@ROSENHOTELS.COM
C00082,OCEAN REEF CLUB,OTHER,AVALDES@OCEANREEF.COM
C00083,PANADERIA 20 DE JULIO,OTHER,LUCHO412@GMAIL.COM
C00084,SBG - RIVIERA HOTEL,SOUTH BEACH GRP,ANDY.CARBALLO@SOUTHBEACHGROUP.COM
C00085,SHADY GLEN RESTAURANT & ICE CREAM PARLOR,OTHER,HOCH.WILLIAM@YAHOO.COM
C00086,METROPOLITAN CLUB,OTHER,RMOREIRA@METCLUB.ORG
C00087,OLDE MILL INN,OTHER,NMARTIN@OLDEMILLINN.COM
C00088,AMERICAN VALET,OTHER,RICHARD@AMERICANVALET.COM
C00089,"APC HOSPITALITY, LLC",OTHER,FINANCE@APCHOSPITALITY.COM
C00090,SEDANO'S #38,SEDANO'S,SEDANOS38@SEDANOS.COM
C00091,SEDANO'S #40,SEDANO'S,SEDANOS40@SEDANOS.COM
C00092,SEDANO'S #41,SEDANO'S,SEDANOS41@SEDANOS.COM
C00093,BILTMORE HOTEL,OTHER,JSAYLOR@BILTMOREHOTEL.COM
C00094,PULLMAN HOTEL - MIAMI,OTHER,AILEEN.HUE@ACCOR.COM
C00095,PARKING SYSTEMS OF AMERICA,OTHER,TFREY@PARKINGSYSTEMSOFAMERICA.COM
C00096,BELLINI CONDO,OTHER,HCONA@CASTLEGROUP.COM
C00097,OTESAGA RESORT HOTEL,HHOA,PSCHILLING@OTESAGA.COM
C00098,CHEEN HUAYE RESTAURANT,OTHER,VELA1617@BELLSOUTH.NET
C00099,RB PROPERTIES -- WASHINGTON PLAZA HOTEL,OTHER,MEBO@RBPROPERTIESINC.COM
C00100,NATIONAL HOTEL,OTHER,OPERATIONS@NATIONALHOTEL.COM
C00101,EVEREADY DINER,OTHER,PSROCK1@AOL.COM
C00102,BETSY HOTEL,OTHER,YRAMOS@THEBETSYHOTEL.COM
C00103,UMIAMI-CHARTWELLS,CHARTWELLS,ANDREWHALL@MIAMI.EDU
C00104,GROVENOR HOUSE,FSR,GHMGR@GROVENORHOUSECONDO.COM
C00105,ARMY NAVY CLUB,OTHER,MPECKHAM@ARMYNAVYCLUB.ORG
C00106,METROPOLITAN HEALTHCARE SERVICE MHS,OTHER,DTRAN@MHS97.COM
C00107,UIA MANAGEMENT,OTHER,SLOPEZ@UIAMANAGEMENT.COM
C00108,LAZ PARKING,OTHER,CHGARCIA@LAZPARKING.COM
C00109,ROSEN INN AT POINTE ORLANDO,ROSEN,MMEDINA@ROSENHOTELS.COM
C00110,ROSEN INN @6327,ROSEN,MMEDINA@ROSENHOTELS.COM
C00111,ROSEN PLAZA,ROSEN,MMEDINA@ROSENHOTELS.COM
C00112,QUALITY PARKING SERVICE,OTHER,BEN@VALETPARKING.COM
C00113,"LUCKETT HOLDINGS, INC",OTHER,RSABSOLU@COMMEILFAUT.COM
C00114,WATERS EDGE AT GIOVANNIS,OTHER,JOANN@GIOVANNIS.COM
C00115,PARK INC,OTHER,LEWISG@PARKINC.COM
C00116,BLOCKADE RUNNER BEACH RESORT,OTHER,GRETCHEN.MADDEN@BLOCKADE-RUNNER.COM
C00117,ELIOT HOTEL,OTHER,JPAULAUSKAS@ELIOTHOTEL.COM
C00118,G&D LANDSCAPING,OTHER,GANDDLANDSCAPING.ING@GMAIL.COM
C00119,HOTEL MAJESTIC,OTHER,VPVMGMT@GMAIL.COM
C00120,NEWPORT BEACHSIDE HOTEL & RESORT,OTHER,PCOSTA@NEWPORTBEACHSIDERESORT.COM
C00121,UMIAMI-HR DEPARTMENT,OTHER,LCARRENO@MIAMI.EDU
C00122,ROSEN INN LAKE BUENA VISTA,ROSEN,ROSENPURCHASING@ROSENHOTELS.COM
C00123,ROSEN INN INTERNATIONAL,ROSEN,ROSENPURCHASING@ROSENHOTELS.COM
C00124,VALET PARK OF AMERICA,OTHER,TDUVAL@VALETPARKOFAMERICA.COM
C00125,ENCORE HOSPITALITY-CA,OTHER,HLEONCRUZ@TOWNEPARK.COM
C00126,BELL TOWER HOTEL,OTHER,HOUSEKEEPING@BELLTOWERHOTEL.COM
C00127,HYATT REGENCY CHESAPEAKE,HYATT,TYWANDA.JOLLEY@HYATT.COM
C00128,VPNE PARKING SOLUTIONS,OTHER,JRODRIGUEZ@VPNE.COM
C00129,PALM BEACH SHORES RESORT,OTHER,PPINNOCK@DMRESORTS.COM
C00130,BRAZILIAN COURT HOTEL,OTHER,NDAMOTA@BRAZILIANCOURT.COM
C00131,AAA PARKING,OTHER,EBRYANT@AAAPARKING.COM
C00132,CARILLON HOTEL & SPA,OTHER,MARCELLA.ALMEIDA@CARILLONHOTEL.COM
C00133,SBG - TRADEWINDS,SOUTH BEACH GRP,
C00134,CLUB AT ADMIRALS COVE,OTHER,NLANDON@ADMIRALSCOVE.NET
C00135,MJ VALET,OTHER,MJASSER@MJVALET.COM
C00136,OCEAN SKY HOTEL & RESORT,OTHER,ACCOUNTSPAYABLE@OCEANSKYRESORT.COM
C00137,OCEAN GRILL,OTHER,JOEYREPLOGLE@YAHOO.COM
C00138,WORLD CLASS PARKING,OTHER,ADMIN@WORLDCLASSPARKING.NET
C00139,OMNI LA MANSION DEL RIO,HHOA,SABRINA.NAVARRO@OMNIHOTELS.COM
C00140,MUTINY HOTEL,OTHER,DLOPEZ@MUTINYHOTEL.COM
C00141,CHARLES HOTEL,OTHER,MARCSHERIDAN@CHARLESHOTEL.COM
C00142,DON CESAR HOTEL,HHOA,JHICKS@DONCESAR.COM
C00143,HILTON - MIAMI DOWNTOWN,HILTON,CRISTOBAL.MIRABAL@HILTON.COM
C00144,INN AT PELICAN BAY,OTHER,RGERVASI@INNATPELICANBAY.COM
C00145,BILMAR BEACH RESORT,OTHER,FACILITIES@BILMARBEACHRESORT.COM
C00146,ATLANTIC HOTEL & SPA,OTHER,SNEWSOME@ATLANTICHOTELFL.COM
C00147,ACE PARKING,OTHER,MICHELLE_BOTTOMLEY@ACEPARKING.COM
C00148,SETAI,OTHER,DCOETZER@THESETAIHOTEL.COM
C00149,SOUTH DADE LAWN CARE,OTHER,EDUCATEYOURSELF100@YAHOO.COM
C00150,SEDANO'S - MAIN OFFICE,SEDANO'S,INFO@SEDANOS.COM
C00151,SEDANO'S #42,SEDANO'S,SEDANOS42@SEDANOS.COM
C00152,PALAZZO DEL SOL & DELLA LUNA,KW PROPERTIES,NMILO@KWPMC.COM
C00153,VICTORY CASINO CRUISES,OTHER,FEDGECOMBE@VICTORYCANAVERAL.COM
C00154,HOTEL BETHLEHEM,HHOA,KRONALDS@HOTELBETHLEHEM.COM
C00155,MISSION INN RESORT & CLUB,OTHER,MPURSER@MISSIONINNRESORT.COM
C00156,FISH HOPPER RESTAURANT,OTHER,HAWAIIADMIN@FISHHOPPER.COM
C00157,DIPLOMAT RESORT & SPA,OTHER,EMILIYA.FRANK@DIPLOMATRESORT.COM
C00158,ONSITE,OTHER,ASHLEY@ONSITEMIAMI.COM
C00159,WATKINS GLEN HARBOR HOTEL,OTHER,SWATSON@HARTHOTELS.COM
C00160,EMBASSY SUITES-CHARLESTON,HILTON,MATT.HOLLEY@HILTON.COM
C00161,GRAND BEACH HOTEL SURFSIDE,GRAND BEACH,SVARGAS@GRANDBEACHHOTEL.COM
C00162,CHEVY CHASE CLUB,OTHER,JAC@CHEVYCHASECLUB.ORG
C00163,SBG - LINCOLN ARMS SUITES,SOUTH BEACH GRP,ANDY.CARBALLO@SOUTHBEACHGROUP.COM
C00164,GREAT AMERICAN RESTAURANTS,OTHER,KATIE.FULLER@GAR-SC.COM
C00165,BETHESDA BY THE SEA,OTHER,TURIA@BBTS.ORG
C00166,HILTON - NASHVILLE DOWNTOWN,HILTON,
C00167,MY HEATHERS,OTHER,MYHEATHERSHK@GMAIL.COM
C00168,ACQUA FRESCA,OTHER,DANIELLE@ACQUAFRESCAMIAMI.COM
C00169,RB PROPERTIES -- STATE PLAZA HOTEL,OTHER,MEBO@RBPROPERTIESINC.COM
C00170,SAMAR HOSPITALITY,OTHER,KMAYR@SAMARHOSPITALITY.COM
C00171,LETS GO SAILING,OTHER,BILLGLADD@GMAIL.COM
C00172,OCEANA KEY BISCAYNE,FSR,ADMIN@OCEANAKB.COM
C00173,LA CANTERA HILL COUNTRY RESORT,OTHER,CTARALUNGA@LACANTERARESORT.COM
C00174,SLS HOTEL SOUTH BEACH,OTHER,LUIS.E.GARCIA@SLSHOTELS.COM
C00175,BEACH CLUB-PALM BEACH,OTHER,JOY@THEBEACHCLUB.NET
C00176,OASIS MARINAS,OTHER,TCOE@OASISMARINAS.COM
C00177,GLOBAL PARKING SERVICES,OTHER,NELLY@GLOBALPARKSERVICES.COM
C00178,CHEROKEE PLANTATION,OTHER,TERRI@CHEROKEEPLANTATION.COM
C00179,PARROT CAY RESORT,OTHER,LOVELEE.SANDIEGO@COMOHOTELS.COM
C00180,JC PARKING,OTHER,CSEGRERA@JCPARKING.COM
C00181,GREEN REPUBLIC,OTHER,RAUL@GREENREPUBLICLANDSCAPING.COM
C00182,RIVERSIDE HEALTH SYSTEMS,OTHER,CAROLYN.SMITH@RIVHS.COM
C00184,OCEAN 5 HOTEL,OTHER,KEVIN@OCEANFIVE.COM
C00185,OKLAHOMA CITY GOLF & RESORT CLUB,OTHER,CSMITH@OKCGCC.COM
C00186,SALVADOR PARK TENNIS CENTER,OTHER,LEANDROTENNISPRO@GMAIL.COM
C00187,SOUTH SEAS ISLAND RESORT,OTHER,TBREDAHL@SOUTHSEAS.COM
C00188,COCONUT BAY BEACH RESORT & SPA-ST. LUCIA,OTHER,SCHIN@CBAYRESORT.COM
C00189,SALVATION ARMY-N.CAROLINA,OTHER,KIMBERLY.CUNDIFF@USS.SALVATIONARMY.ORG
C00190,PEGASO CORPORATION,OTHER,EASCIOLLA@PEGASOCORP.COM
C00191,ZG VALET,OTHER,VICTOR@ZGVALET.COM
C00192,MANSIONS AT ACQUALINA,OTHER,JGISSON@MANSIONSATACQUALINA.COM
C00193,RB PROPERTIES   HENLEY PARK HOTEL,HHOA,MEBO@RBPROPERTIESINC.COM
C00194,RB PROPERTIES   MORRISON CLARK INN,HHOA,MEBO@RBPROPERTIESINC.COM
C00195,RB PROPERTIES   HOTEL LOMBARDY,HHOA,MEBO@RBPROPERTIESINC.COM
C00196,UNITED SERVICES INC.,OTHER,CCONDINA@UNITEDSERVICESINC.NET
C00197,TARGET TEMP REFRIGERATION,OTHER,ANTHONYAC1@YAHOO.COM
C00198,NEME GASTRO BAR,OTHER,NEME23@MAC.COM
C00199,MIAMI PARKING INC.,OTHER,FRANCISCO@PARKMP.COM
C00200,SOMERSET ON GRACE BAY,OTHER,KSTUBBS@THESOMERSET.COM
C00201,CARIBBEAN PROPERTY MANAGEMENT,OTHER,JUANC@CARIBBEANPROPERTY.CC
C00202,EAU PALM BEACH RESORT & SPA,OTHER,SARAH.MCKNIGHT@EAUPALMBEACH.COM
C00203,TWENTY TWO GROUP,OTHER,ADRIANA@THE22GROUP.COM
C00204,SBG - WHITELAW HOTEL,SOUTH BEACH GRP,ANDY.CARBALLO@SOUTHBEACHGROUP.COM
C00205,BRIDGE TO HOPE,OTHER,VANESSA@BRIDGETOHOPE.NET
C00206,WARWICK HOTEL RITTENHOUSE,OTHER,RAY.HEWITT@WARWICKRITTENHOUSE.COM
C00207,ZARA'S CENTER,OTHER,DEBORAHPBRIGGS@GMAIL.COM
C00208,LEEDS PARKING SERVICES,OTHER,LEEDSPARKING@GMAIL.COM
C00209,ACQUALINA RESORT,OTHER,MALLORY.RIVERA@ACQUALINA.COM
C00210,SHUSTER DEVELOPMENT,OTHER,JINGWEN@DVORALIFE.COM
C00211,DENISON PARKING,OTHER,JHEDGE@DENISONPARKING.COM
C00212,MERIDIAN CONDO,OTHER,MSUERO@KWPMC.COM
C00213,REMINGTON PLAZA HOA,OTHER,ALBERT@REMINGTONPLAZAHOA.COM
C00214,SANTA BARBARA INN,OTHER,JDEARINGER@SANTABARBARAINN.COM
C00215,DREAM SOUTH BEACH HOTEL,OTHER,DSOSA@DREAMHOTELS.COM
C00216,WESTIN GRAND CAYMAN,OTHER,ETIENNE.LESSARD@WESTIN-CAYMAN.COM
C00217,OCEANA BAL HARBOUR,KW PROPERTIES,ADMIN@OCEANABH.COM
C00218,"ACCESS PARKING MANAGEMENT, LLC",OTHER,BOLOYEDE@ACCESSPMLLC.COM
C00219,VALET CONNECT,OTHER,YCHACIN@VALETCONNECT.NET
C00220,CONTINENTAL RX,OTHER,PERALJ@CONTINENTALRX.COM
C00221,EAST HOTEL,OTHER,RICHARDFERNANDEZ@SWIREHOTELS.COM
C00222,SAN JUAN HOTEL,OTHER,JESSICA@SJHSOUTHBEACH.COM
C00223,DOUGLAS PARKING,OTHER,JASON@DOUGLASPARKING.COM
C00224,BLUMAN EQUESTRIAN,OTHER,EPSTEIN.524@GMAIL.COM
C00225,HILTON - NAPLES,HILTON,ISABELLA.HERNANDEZ@HILTON.COM
C00226,SOUTH FLORIDA CONDO MGT,OTHER,PAYABLES@SFLAMGT.COM
C00227,MOSAICIST,OTHER,RAY@MOSAICIST.COM
C00228,HARD ROCK UNIVERSAL ORLANDO,LOEWS HOTELS,MFORD@LOEWSHOTELS.COM
C00229,FIRST IMPRESSION VALET,OTHER,TOM@FIRSTIMPRESSIONVALET.COM
C00230,ARTECH RESIDENCE,OTHER,ASSISTANTMGR@ARTECHRESIDENCES.COM
C00231,UMIAMI-CHARTWELLS:UMIAMI-CHARTWELLS LENNAR,CHARTWELLS,JARROD.MILLS@COMPASS-USA.COM
C00232,HAMILTON'S VALET SERVICES,OTHER,CONTACT@HAMILTONSVALETSERVICES.COM
C00233,TOWN OF MEDLEY,OTHER,SGUASCH@TOWNOFMEDLEY.COM
C00234,HILTON - DAYTONA BEACH RESORT,HILTON,BMCMICHAEL@DAYTONAHILTON.COM
C00235,CHATEAU BEACH CONDO,FSR,MANAGER@CHATEAUBEACH.NET
C00236,HILTON - COCOA BEACH OCEANFRONT,HILTON,NICHOLE.MCCARTHY@HILTON.COM
C00237,IBEROSTAR 70 PARK AVENUE HOTEL,OTHER,NYPDIR@IBEROSTAR.COM
C00238,BISCAYNE BEACH MIAMI CONDO,FSR,ASSISTANTMANAGER@BISCAYNEBEACHRESIDENCES.NET
C00239,WDW SWAN & DOLPHIN RESORT,OTHER,WESLEY.OBRIST@SWANDOLPHIN.COM
C00240,RIVERSIDE HOTEL,OTHER,MCANALES@RIVERSIDEHOTEL.COM
C00241,SAILFISH POINT,OTHER,B.MULDOON@SAILFISHPOINT.COM
C00242,MANDARIN ORIENTAL - MIAMI,OTHER,ADHANNA@MOHG.COM
C00243,RIVERSIDE HOTEL:HOUSEKEEPING,OTHER,GPRIOLEAU@RIVERSIDEHOTEL.COM
C00244,UMIAMI- BASCOM PALMER EYE INSTITUTE,U OF M GROUP,MSANJUAN@MED.MIAMI.EDU
C00245,CHARMANT HOTEL,OTHER,KKRUEGER@THECHARMANTHOTEL.COM
C00246,GROVE AT GRAND BAY,KW PROPERTIES,CCHACON@KWPMC.COM
C00247,COMMANDERS PALACE,OTHER,BEN@COMMANDERSPALACE.COM
C00248,TURTLE CREEK CLUB,OTHER,FB@TURTLECREEKCLUB.COM
C00249,CITY OF WEST PALM BEACH,OTHER,SSAMUELS@WPB.ORG
C00250,DESIGNA,OTHER,LISA.FARRUGIA@DESIGNA.COM
C00251,SRIRACHA HOUSE,OTHER,EJBENZADON@AOL.COM
C00252,STELLA HOTEL,OTHER,CSKALABAN@THESTELLAHOTEL.COM
C00253,UMIAMI-GABLES ONE TOWER FINANCE,GABLES ONE,LCARRENO@MIAMI.EDU
C00254,BROADWAY,OTHER,RAZA@WORTHROSS.COM
C00255,YACHT HARBOUR ASSOCIATION,OTHER,CCALDERON@KWPMC.COM
C00256,ABACO BEACH RESORT & BOAT HARBOUR,OTHER,CONTROLLER@ABACOBEACHRESORT.COM
C00257,EDGE HOTEL,OTHER,GM@EDGEHOTELNYC.COM
C00258,200 PATTERSON CONDOMINIUMS,OTHER,PAULA.J@WORTHROSS.COM
C00259,INN AND SUITES AT RIVERWALK,OTHER,
C00260,B OCEAN FORT LAUDERDALE,OTHER,MERYL.FLYNN@BOCEANFORTLAUDERDALE.COM
C00261,XCITE - FKA PINNACLE,OTHER,RSANTELLANA@PINNACLEAHS.COM
C00262,BEACH CLUB II,FSR,MANAGER@BEACHCLUBTWO.COM
C00263,LEAPFROG INSURANCE INC.,OTHER,ELI.MARTIN@JIBINC.NET
C00264,RESORTS WORLD BIMINI,OTHER,KIMBERLEY.DOMBRE@RWBIMINI.COM
C00265,KINGSAIL RESORT,OTHER,SHELBY@TPBRESORTS.COM
C00266,ROSEN PARRAMORE PS 8 FOUNDATION INC,ROSEN,ROSENPURCHASING@ROSENHOTELS.COM
C00267,HAMMOCK BEACH RESORT,OTHER,DJACKSON@HAMMOCKBEACH.COM
C00268,C.A.P. GOVERNMENT,OTHER,CELLISON@CAPFLA.COM
C00269,ELECTRONIC TECHNOLOGY SOLUTIONS,OTHER,ELECTRONICTECHSOL@GMAIL.COM
C00270,GRAND BEACH HOTEL BAY HARBOR,GRAND BEACH,SVARGAS@GRANDBEACHHOTEL.COM
C00271,DOUBLETREE SUITES BY HILTON PHOENIX,HILTON,BRENT.STUTTS@DOUBLETREEPHOENIX.COM
C00272,MARCO POLO BEACH RESORT,OTHER,GM@MARCOPOLOBEACHRESORT.COM
C00273,INTERCARIBBEAN,OTHER,NADEGE.GIBSON@INTERCARIBBEAN.COM
C00274,SRI--- SEAGRASS VILLAGE OF FLEMING ISLAND,SRI,DAVID.DAYTON@SRIMGT.COM
C00275,DELOITTE UNIVERSITY,OTHER,JKEATHLEY@DELOITTE.COM
C00276,OHEKA CASTLE,HHOA,SKESSLER@OHEKA.COM
C00277,ALLIED UNIVERSAL,OTHER,JOSE.CHAVARRIA@AUS.COM
C00278,SRI--- CLAIBORNE OF MCCOMB,SRI,TODD.FILIPPONE@SRIMGT.COM
C00279,SRI--- CLAIBORNE AT HATTIESBURG,SRI,LBOLING@THECLAIBORNE.COM
