source,source_id,zone_key,name,brand,latitude,longitude,address,city,state,postcode,country,phone,website,stars_osm
geoapify,51691c6d7aea0754c059acc434cd85ce3940f00102f901190ffb190000000092031b486f74656c2052697520506c617a61204d69616d69204265616368,south_florida,Hotel Riu Plaza Miami Beach,RIU,25.8067292,-80.1236864,Hotel Riu Plaza Miami Beach,Miami Beach,Florida,33140,United States,+1-305-673-5333,https://www.riu.com/en/hotel/usa/miami-beach/hotel-riu-plaza-miami-beach/,
geoapify,51c803da31640854c05934e3eab0c2cb3940f00102f901ff2df1190000000092031b496265726f73746172205761766573204d69616d69204265616368,south_florida,Iberostar Waves Miami Beach,Iberostar Hotels & Resorts,25.7959395,-80.1311154,Iberostar Waves Miami Beach,Miami Beach,Florida,33139,United States,+1-786-697-1333,https://www.iberostar.com/eu/hotels/miami/iberostar-waves-miami-beach/,
geoapify,51b48ed86ef00754c059de5656945cce3940f00102f901f579f319000000009203155468652050616c6d7320486f74656c202620537061,south_florida,The Palms Hotel & Spa,,25.8061002,-80.1240499,The Palms Hotel & Spa,Miami Beach,Florida,33140,United States,+1-305-534-0505,https://www.thepalmshotel.com/,
geoapify,51c2d113e95b0854c0592c51830827ca3940f00102f901a3c2f8190000000092031e496265726f73746172205761766573204265726b656c65792053686f7265,south_florida,Iberostar Waves Berkeley Shore,Iberostar Hotels & Resorts,25.7896581,-80.1306098,Iberostar Waves Berkeley Shore,Miami Beach,Florida,33139,United States,+1 786-605-0810,https://www.iberostar.com/eu/hotels/miami/iberostar-waves-berkeley-shore/,
geoapify,51eae4cbe36e0854c059166c8c2bd3c63940f00102f901ef01390f0000000092030e4d616a657374696320486f74656c,south_florida,Majestic Hotel,,25.7766597,-80.1317682,Majestic Hotel,Miami,Florida,33139,United States,+1 305-455-3270,https://www.majesticsouthbeach.com/,
geoapify,516ccfcdf16f0854c05912163a4ec0c63940f00102f9016b02390f000000009203125061726b2043656e7472616c20486f74656c,south_florida,Park Central Hotel,,25.7763719,-80.1318326,Park Central Hotel,Miami,Florida,33139,United States,+1 305-538-1611,http://www.theparkcentral.com/,
geoapify,5104fb77d46d0854c059ec51afe9e6c63940f00102f901ca7db3160000000092030c4176616c6f6e20486f74656c,south_florida,Avalon Hotel,,25.776961,-80.1317035,Avalon Hotel,Miami,Florida,33139,United States,+1 305-538-0133,https://www.avalonhotel.com/default-en.html,
geoapify,5160e1c9136d0854c059ec1128f0f3c63940f00102f901cd7db3160000000092030c426561636f6e20486f74656c,south_florida,Beacon Hotel,,25.7771597,-80.1316575,Beacon Hotel,Miami,Florida,33139,United States,+1-305-674-8200,https://www.beaconsouthbeach.com/,
geoapify,51b470bb816b0854c05978e46cd910c73940f00102f901ce7db3160000000092030f426f756c657661726420486f74656c,south_florida,Boulevard Hotel,,25.7776009,-80.1315617,Boulevard Hotel,Miami,Florida,33139,United States,+1-305-532-0376,http://boulevardhotelsouthbeach.com/,
geoapify,519a14513e660854c0597c72dc6d72c73940f00102f901f37db3160000000092031457616c646f726620546f7765727320486f74656c,south_florida,Waldorf Towers Hotel,,25.7790898,-80.1312404,Waldorf Towers Hotel,Miami,Florida,33139,United States,+1-786-446-8100,https://www.waldorftowersmiami.com/,
geoapify,519841eb3d5c0854c0595487692332c83940f00102f9010db3b316000000009203185468652056696c6c61204361736120436173756172696e61,south_florida,The Villa Casa Casuarina,,25.782015,-80.13063,The Villa Casa Casuarina,Miami Beach,Florida,33139,United States,+1-786-485-2200,https://vmmiamibeach.com/,
