source,source_id,zone_key,name,brand,latitude,longitude,address,city,state,postcode,country,phone,website,categories,osm_stars,osm_tourism,osm_luxury,osm_building,brand_tier,tier_num,tier_label,classification_method,matched_db_id,matched_db_name,match_score,match_distance_m,client_brand_hint,classification
geoapify,5171d8285a67945dc0591cf80ed9f60c4140f00101f901f7c15f000000000092031942616e616e612042756e67616c6f7720486f6c6c79776f6f64,ca_los_angeles,Banana Bungalow Hollywood,,34.1012832,-118.3188081,Banana Bungalow Hollywood,Los Angeles,California,90028,United States,+1 323-469-2500,https://www.bananabungalows.com/HollywoodHostelLosAngeles.html,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,hotel,tier2_luxury,2,Luxury,name_brand,1382,Banana Bungalow Hollywood,100.0,0.0,False,PROSPECT
geoapify,511fb6320adc945dc059a200b342ec0c4140f00102f901e9b3e037000000009203075720486f74656c,ca_los_angeles,W Hotel,W Hotels,34.1009601,-118.3259302,W Hotel,Los Angeles,California,90028,United States,+1 323-798-1300,https://www.marriott.com/en-us/hotels/laxwh-w-hollywood/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"accommodation,accommodation.hotel",,hotel,,,tier2_luxury,2,Luxury,name_brand,1383,W Hotel,100.0,0.0,False,PROSPECT
geoapify,5154471c8f388c5dc059ec178f2aafe14040f00102f901c501a40100000000920318487961747420526567656e6379204c6f6e67204265616368,ca_los_angeles,Hyatt Regency Long Beach,Hyatt Regency,33.7631581,-118.1909521,Hyatt Regency Long Beach,Long Beach,California,90802,United States,+1 562-491-1234,https://longbeach.regency.hyatt.com/,"accommodation,accommodation.hotel,building,building.accommodation,wheelchair,wheelchair.limited",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1384,Hyatt Regency Long Beach,100.0,0.0,False,PROSPECT
geoapify,514fdd22d1639f5dc0598862704a0a014140f00102f901b39d49150000000092031456696365726f792053616e7461204d6f6e696361,ca_los_angeles,Viceroy Santa Monica,Viceroy Hotels and Resorts,34.0081266,-118.4904673,Viceroy Santa Monica,Santa Monica,California,90401,United States,+1-310-260-7500,https://www.viceroyhotelsandresorts.com/santamonica,"accommodation,accommodation.hotel,building,building.accommodation,internet_access",,hotel,,yes,tier1_ultra_luxury,1,Ultra Luxury,name_brand,1385,Viceroy Santa Monica,100.0,0.0,False,PROSPECT
geoapify,512776c481e6985dc059b2c75a0a23f94040f00102f901e254a1180000000092031f536f6e65737461204c6f7320416e67656c657320416972706f7274204c4158,ca_los_angeles,Sonesta Los Angeles Airport LAX,Sonesta,33.9463819,-118.389069,Sonesta Los Angeles Airport LAX,Los Angeles,California,90045,United States,+1-310-642-7500,https://www.sonesta.com/sonesta-hotels-resorts/ca/los-angeles/sonesta-los-angeles-airport-lax/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier4_upscale,4,Upscale,name_brand,1386,Sonesta Los Angeles Airport LAX,100.0,0.0,False,PROSPECT
geoapify,5126028cbd01995dc0598c880ccd2bf94040f00102f901fe54a118000000009203225368657261746f6e2047617465776179204c6f7320416e67656c657320486f74656c,ca_los_angeles,Sheraton Gateway Los Angeles Hotel,Sheraton,33.9466492,-118.3907312,Sheraton Gateway Los Angeles Hotel,Los Angeles,California,90045,United States,+1-310-642-1111,https://www.marriott.com/hotels/travel/laxsi-sheraton-gateway-los-angeles-hotel/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,internet_access.free,wheelchair,wheelchair.yes",,hotel,,hotel,tier3_upper_upscale,3,Upper Upscale,name_brand,1387,Sheraton Gateway Los Angeles Hotel,100.0,0.0,False,PROSPECT
geoapify,51e19c8ae749995dc059ed52946d16f94040f00102f9011355a1180000000092032f487961747420526567656e6379204c6f7320416e67656c657320496e7465726e6174696f6e616c20416972706f7274,ca_los_angeles,Hyatt Regency Los Angeles International Airport,Hyatt Regency,33.9459969,-118.3951358,Hyatt Regency Los Angeles International Airport,Los Angeles,California,90045,United States,+1 424-702-1234,https://losangelesairport.regency.hyatt.com/en/hotel/home.html,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,internet_access.free",,hotel,,hotel,tier3_upper_upscale,3,Upper Upscale,name_brand,1388,Hyatt Regency Los Angeles International Airport,100.0,0.0,False,PROSPECT
geoapify,5186729144649a5dc059da1bfa49eb064140f00102f901b289571900000000920329496e746572436f6e74696e656e74616c204c6f7320416e67656c65732043656e747572792043697479,ca_los_angeles,InterContinental Los Angeles Century City,InterContinental,34.0540555,-118.4123699,InterContinental Los Angeles Century City,Los Angeles,California,90067,United States,+1 3102846500,https://www.intercontinentallosangeles.com/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,hotel,tier3_upper_upscale,3,Upper Upscale,name_brand,1389,InterContinental Los Angeles Century City,100.0,0.0,False,PROSPECT
geoapify,514c74fc46e2975dc0590020b028360c4140f00102f901c8ce961900000000920314416e64617a205765737420486f6c6c79776f6f64,ca_los_angeles,Andaz West Hollywood,ANdAZ,34.0954028,-118.3731859,Andaz West Hollywood,West Hollywood,California,90069,United States,+1-323-656-1234,https://westhollywood.andaz.hyatt.com/en/hotel/home.html,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,internet_access.for_customers",,hotel,,hotel,tier3_upper_upscale,3,Upper Upscale,name_brand,1390,Andaz West Hollywood,100.0,0.0,False,PROSPECT
geoapify,5114fcb79af5975dc059c5ac67be140c4140f00102f901dbce96190000000092031a4d6f6e647269616e204c6f7320416e67656c657320486f74656c,ca_los_angeles,Mondrian Los Angeles Hotel,Morgans Hotel Group,34.0943831,-118.3743655,Mondrian Los Angeles Hotel,West Hollywood,California,90069,United States,+1-323-650-8999,https://www.morganshotelgroup.com/mondrian/mondrian-los-angeles,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,internet_access.for_customers",,hotel,,hotel,tier3_upper_upscale,3,Upper Upscale,name_brand,1391,Mondrian Los Angeles Hotel,100.0,0.0,False,PROSPECT
