source,source_id,zone_key,name,brand,latitude,longitude,address,city,state,postcode,country,phone,website,categories,osm_stars,osm_tourism,osm_luxury,osm_building,brand_tier,tier_num,tier_label,classification_method,matched_db_id,matched_db_name,match_score,match_distance_m,client_brand_hint,classification
geoapify,519f008a9125935ec05963b9e3bf401f4340f00103f901ba9831b80200000092030c5374616e6c792052616e6368,ca_napa_sonoma,Stanly Ranch,Auberge Resorts Collection,38.2441635,-122.299168,Stanly Ranch,Napa,California,94559,United States,+1-866-421-5122,https://aubergeresorts.com/stanlyranch/,"accommodation,accommodation.hotel",,hotel,,,tier2_luxury,2,Luxury,brand_field,1599,Stanly Ranch,100.0,0.0,False,PROSPECT
geoapify,51d24a9e0ae29e5ec059a25546bd16284340f00102f90175c65d1000000000920321466169726d6f6e7420536f6e6f6d61204d697373696f6e20496e6e202620537061,ca_napa_sonoma,Fairmont Sonoma Mission Inn & Spa,Fairmont,38.313194,-122.4825465,Fairmont Sonoma Mission Inn & Spa,Boyes Hot Springs,California,95476,United States,+1 707 938-9000,https://www.fairmont.com/sonoma/,"accommodation,accommodation.hotel,wheelchair,wheelchair.yes",,hotel,,,tier2_luxury,2,Luxury,name_brand,1600,Fairmont Sonoma Mission Inn & Spa,100.0,0.0,False,PROSPECT
geoapify,51b86656504a9d5ec0590836519b5d244340f00102f90142f05d100000000092031b4d616341727468757220506c61636520486f74656c202620537061,ca_napa_sonoma,MacArthur Place Hotel & Spa,,38.2841067,-122.4576608,MacArthur Place Hotel & Spa,Sonoma,California,95476,United States,+1 707 938-2929,https://www.macarthurplace.com/index.php,"accommodation,accommodation.hotel",,hotel,,,tier3_upper_upscale,3,Upper Upscale,name_brand,1601,MacArthur Place Hotel & Spa,100.0,0.0,False,PROSPECT
geoapify,5136bf536a01945ec0590ae007cb58294340f00101f901f03e7900000000009203204e6170612056616c6c6579204d617272696f747420486f74656c202620537061,ca_napa_sonoma,Napa Valley Marriott Hotel & Spa,Marriott,38.3230222,-122.3125864,Napa Valley Marriott Hotel & Spa,Napa,California,94558,United States,+1 707 253 8600,https://www.marriott.com/en-us/hotels/sfonp-napa-valley-marriott-hotel-and-spa/overview/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,hotel,tier4_upscale,4,Upscale,name_brand,1602,Napa Valley Marriott Hotel & Spa,100.0,0.0,False,PROSPECT
geoapify,51d9e50380fcad5ec059e0cca9bac7374340f00101f901e5cc760000000000920321487961747420526567656e637920536f6e6f6d612057696e6520436f756e747279,ca_napa_sonoma,Hyatt Regency Sonoma Wine Country,Hyatt Regency,38.4357828,-122.7185364,Hyatt Regency Sonoma Wine Country,Santa Rosa,California,95401,United States,+1-707-284-1234,https://www.hyatt.com/hyatt-regency/en-US/sonom-hyatt-regency-sonoma-wine-country,"accommodation,accommodation.hotel,building,building.accommodation,wheelchair,wheelchair.yes",,hotel,,hotel,tier3_upper_upscale,3,Upper Upscale,name_brand,1603,Hyatt Regency Sonoma Wine Country,100.0,0.0,False,PROSPECT
geoapify,51dc78ee74809d5ec059960bf03e7d234340f00102f9015803a30800000000920330546865204c6f64676520617420536f6e6f6d61205265736f72742c204175746f677261706820436f6c6c656374696f6e,ca_napa_sonoma,"The Lodge at Sonoma Resort, Autograph Collection",Marriott,38.2772597,-122.4609654,"The Lodge at Sonoma Resort, Autograph Collection",Sonoma,California,95476,United States,+1-707-935-6600,https://www.marriott.com/en-us/hotels/sfoas-the-lodge-at-sonoma-resort-autograph-collection/overview/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,wheelchair,wheelchair.yes",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1604,"The Lodge at Sonoma Resort, Autograph Collection",100.0,0.0,False,PROSPECT
geoapify,5178e583a5609d5ec0592a32654197254340f00102f901b3375c100000000092030f456c20446f7261646f20486f74656c,ca_napa_sonoma,El Dorado Hotel,,38.2936785,-122.4590238,El Dorado Hotel,Sonoma,California,95476,United States,+1 707-996-3030,https://www.eldoradosonoma.com/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier4_upscale,4,Upscale,name_brand,1605,El Dorado Hotel,100.0,0.0,False,PROSPECT
geoapify,512ae0c4490cac5ec0590c6adec7d1394340f00102f9010bd45d100000000092033d466c616d696e676f205265736f727420616e64205370612053616e746120526f736120536f6e6f6d612c2054617065737472792062792048696c746f6e,ca_napa_sonoma,"Flamingo Resort and Spa Santa Rosa Sonoma, Tapestry by Hilton",Tapestry Collection,38.4517145,-122.68825,"Flamingo Resort and Spa Santa Rosa Sonoma, Tapestry by Hilton",Santa Rosa,California,95405,United States,+1-707-545-8530,https://www.hilton.com/en/hotels/stsunup-flamingo-resort-and-spa-santa-rosa-sonoma/,"accommodation,accommodation.hotel,internet_access,wheelchair,wheelchair.yes",,hotel,,,tier3_upper_upscale,3,Upper Upscale,name_brand,1606,"Flamingo Resort and Spa Santa Rosa Sonoma, Tapestry by Hilton",100.0,0.0,False,PROSPECT
geoapify,5112972ccd82925ec059d0186eb518264340f00102f9016b3e5b2500000000920316416e64617a204e617061202d206120636f6e63657074,ca_napa_sonoma,Andaz Napa - a concept,ANdAZ,38.2976291,-122.2892335,Andaz Napa - a concept,Napa,California,94559,United States,+1 707-687-1234,https://www.hyatt.com/andaz/apcrn-andaz-napa,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1607,Andaz Napa - a concept,100.0,0.0,False,PROSPECT
geoapify,519b0c4ef252935ec059e7ebd8fd74264340f00102f901d11323370000000092033843617361204d616e69205265736f7274204e6170612056616c6c65792c20437572696f20436f6c6c656374696f6e2062792048696c746f6e,ca_napa_sonoma,"Casa Mani Resort Napa Valley, Curio Collection by Hilton",Embassy Suites,38.3004453,-122.3019377,"Casa Mani Resort Napa Valley, Curio Collection by Hilton",Napa,California,94559,United States,+1 707 253 9540,https://www.hilton.com/en/hotels/napvpqq-casa-mani-resort-napa-valley/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1608,"Casa Mani Resort Napa Valley, Curio Collection by Hilton",100.0,0.0,False,PROSPECT
