source,source_id,zone_key,name,brand,latitude,longitude,address,city,state,postcode,country,phone,website,categories,osm_stars,osm_tourism,osm_luxury,osm_building,brand_tier,tier_num,tier_label,classification_method,matched_db_id,matched_db_name,match_score,match_distance_m,client_brand_hint,classification
geoapify,510260dd4ce0785dc0591ab13ce713cf4040f00102f901bc844a030000000092030d487961747420526567656e6379,ca_orange_county,Hyatt Regency,Hyatt Regency,33.6177949,-117.8886902,Hyatt Regency,Newport Beach,California,92660,United States,+1-949-729-1234,https://www.hyatt.com/en-US/hotel/california/hyatt-regency-newport-beach/newpo,"accommodation,accommodation.hotel",,hotel,,,tier3_upper_upscale,3,Upper Upscale,name_brand,1520,Hyatt Regency,100.0,0.0,False,PROSPECT
geoapify,51d551440c5b7f5dc05948cce18d4cd34040f00102f901adc160030000000092030d487961747420526567656e6379,ca_orange_county,Hyatt Regency,Hyatt Regency,33.6507738,-117.9899321,Hyatt Regency,Huntington Beach,California,92648,United States,+1-714-698-1234,https://www.hyatt.com/hyatt-regency/en-US/hunrh-hyatt-regency-huntington-beach-resort-and-spa,"accommodation,accommodation.hotel",,hotel,,,tier3_upper_upscale,3,Upper Upscale,name_brand,1521,Hyatt Regency,100.0,0.0,False,PROSPECT
geoapify,51d955f3e8cf6d5dc059fdea4542b6bd4040f00102f901326d91110000000092031d57616c646f7266204173746f726961204d6f6e61726368204265616368,ca_orange_county,Waldorf Astoria Monarch Beach,Waldorf Astoria,33.4821246,-117.7158148,Waldorf Astoria Monarch Beach,Dana Point,California,92629,United States,+1-949-234-3200,https://www.waldorfastoriamonarchbeach.com/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier2_luxury,2,Luxury,name_brand,1522,Waldorf Astoria Monarch Beach,100.0,0.0,False,PROSPECT
geoapify,512540b413347b5dc059d49cf8aed2cd4040f00102f901c8e67d370000000092031a4261792053686f7265732050656e696e73756c6120486f74656c,ca_orange_county,Bay Shores Peninsula Hotel,,33.6079921,-117.9250535,Bay Shores Peninsula Hotel,Newport Beach,California,92663,United States,+1-949-675-3463,https://www.bayshoreshotel.com/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,internet_access.free",,hotel,,yes,tier1_ultra_luxury,1,Ultra Luxury,name_brand,1523,Bay Shores Peninsula Hotel,100.0,0.0,False,PROSPECT
geoapify,51660d257b4f785dc059aea70ae5e9ce4040f00102f901a14dbb3a0000000092032a564541204e6577706f72742042656163682c2061204d617272696f7474205265736f7274202620537061,ca_orange_county,"VEA Newport Beach, a Marriott Resort & Spa",Marriott Hotels & Resorts,33.6165129,-117.8798511,"VEA Newport Beach, a Marriott Resort & Spa",Newport Beach,California,92660,United States,+1-949-640-4000,https://www.marriott.com/en-us/hotels/laxnb-vea-newport-beach-marriott-hotel-and-spa/overview/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,wheelchair,wheelchair.yes",,hotel,,yes,tier4_upscale,4,Upscale,brand_field,1524,"VEA Newport Beach, a Marriott Resort & Spa",100.0,0.0,False,PROSPECT
geoapify,511b8cb4f50a7b5dc059c4dfd6b562e74040f00101f90103591901000000009203204469736e65792773204772616e642043616c69666f726e69616e20486f74656c,ca_orange_county,Disney's Grand Californian Hotel,,33.8076999,-117.9225439,Disney's Grand Californian Hotel,Anaheim,California,92802,United States,,https://disneyland.disney.go.com/hotels/grand-californian-hotel/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,wheelchair,wheelchair.yes",,hotel,,hotel,tier3_upper_upscale,3,Upper Upscale,name_brand,1395,Disney's Grand Californian Hotel,100.0,0.0,False,PROSPECT
geoapify,514c98b8afc37f5dc05924ee13cec9ed4040f00101f90194af870000000000920315446f75626c6554726565204275656e61205061726b,ca_orange_county,DoubleTree Buena Park,DoubleTree,33.8577211,-117.9963188,DoubleTree Buena Park,Buena Park,California,90620,United States,+1 714-522-7000,https://www.hilton.com/en/hotels/laxbndt-doubletree-buena-park/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,internet_access.free",,hotel,,hotel,tier4_upscale,4,Upscale,name_brand,1396,DoubleTree Buena Park,100.0,0.0,False,PROSPECT
geoapify,51e2153e6d9c765dc0596a5a3f30c7da4040f00101f901e6c77a000000000092032e456d6261737379205375697465732053616e746120416e61204f72616e676520436f756e747920416972706f7274,ca_orange_county,Embassy Suites Santa Ana Orange County Airport,Embassy Suites,33.7092038,-117.8532975,Embassy Suites Santa Ana Orange County Airport,Santa Ana,California,92705,United States,+1 714-241-3800,https://www.hilton.com/en/hotels/staeses-embassy-suites-santa-ana-orange-county-airport/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,hotel,tier4_upscale,4,Upscale,name_brand,1397,Embassy Suites Santa Ana Orange County Airport,100.0,0.0,False,PROSPECT
geoapify,51cd2a2ccb217d5dc059ac4186d2a8da4040f00102f9012c0f0c060000000092032f536f6e657374612053656c6563742048756e74696e67746f6e20426561636820466f756e7461696e2056616c6c6579,ca_orange_county,Sonesta Select Huntington Beach Fountain Valley,Sonesta Select,33.7082771,-117.9551876,Sonesta Select Huntington Beach Fountain Valley,Fountain Valley,California,92708,United States,+1 714-968-5775,https://www.sonesta.com/us/california/fountain-valley/sonesta-select-huntington-beach-fountain-valley,"accommodation,accommodation.hotel,internet_access",,hotel,,,tier4_upscale,4,Upscale,name_brand,1402,Sonesta Select Huntington Beach Fountain Valley,100.0,0.0,False,PROSPECT
geoapify,517a6e54d5767a5dc05973fbe1bfe5e64040f00102f901048eac0600000000920314486f74656c20496e6469676f20416e616865696d,ca_orange_county,Hotel Indigo Anaheim,Hotel Indigo,33.8038864,-117.913503,Hotel Indigo Anaheim,Anaheim,California,92802,United States,+1 714-772-7755,https://www.ihg.com/hotelindigo/hotels/us/en/anaheim/laxex/hoteldetail,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1403,Hotel Indigo Anaheim,100.0,0.0,False,PROSPECT
geoapify,513e65a01ecf785dc0592ca48c356df54040f00102f901902f30070000000092030e456d626173737920537569746573,ca_orange_county,Embassy Suites,Embassy Suites,33.9173953,-117.8876416,Embassy Suites,Brea,California,92821,United States,+1 714-990-6000,https://www.hilton.com/en/hotels/laxbres-embassy-suites-brea-north-orange-county/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access",,hotel,,yes,tier4_upscale,4,Upscale,name_brand,1404,Embassy Suites,100.0,0.0,False,PROSPECT
geoapify,51a4b304c19c785dc059c098630770d74040f00102f901de4b95070000000092032148696c746f6e204f72616e676520436f756e7479202f20436f737461204d657361,ca_orange_county,Hilton Orange County / Costa Mesa,Hilton,33.6831064,-117.8845675,Hilton Orange County / Costa Mesa,Costa Mesa,California,92626,United States,+1-7145407000,https://www3.hilton.com/en/hotels/california/hilton-orange-county-costa-mesa-SNACMHH/index.html,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,internet_access.free,wheelchair,wheelchair.yes",,hotel,,yes,tier4_upscale,4,Upscale,name_brand,1525,Hilton Orange County / Costa Mesa,100.0,0.0,False,PROSPECT
