source,source_id,zone_key,name,brand,latitude,longitude,address,city,state,postcode,country,phone,website,categories,osm_stars,osm_tourism,osm_luxury,osm_building,brand_tier,tier_num,tier_label,classification_method,matched_db_id,matched_db_name,match_score,match_distance_m,client_brand_hint,classification
geoapify,513c75406d2f175dc059c093c1df8adc4040f00101f90150a99c0000000000920324456d6261737379205375697465732062792048696c746f6e2050616c6d20446573657274,ca_palm_springs,Embassy Suites by Hilton Palm Desert,Embassy Suites,33.7229881,-116.3622697,Embassy Suites by Hilton Palm Desert,Palm Desert,California,92260,United States,+1-760-340-6600,https://embassysuites3.hilton.com/en/hotels/california/embassy-suites-by-hilton-palm-desert-PLMDRES/index.html,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,wheelchair,wheelchair.limited",,hotel,,yes,tier4_upscale,4,Upscale,name_brand,1635,Embassy Suites by Hilton Palm Desert,100.0,0.0,False,PROSPECT
geoapify,51fc6fe75c3e1d5dc0592effa82542e24040f00102f901cd30a1110000000092031f546865205269747a2d4361726c746f6e2c2052616e63686f204d6972616765,ca_palm_springs,"The Ritz-Carlton, Rancho Mirage",The Ritz-Carlton,33.7676436,-116.4569313,"The Ritz-Carlton, Rancho Mirage",Rancho Mirage,California,92270,United States,+1-760-321-8282,www.ritzcarlton.com/en/Properties/RanchoMirage/Default.htm,"accommodation,accommodation.hotel,building,building.accommodation,building.commercial",,hotel,,commercial,tier2_luxury,2,Luxury,name_brand,1636,"The Ritz-Carlton, Rancho Mirage",100.0,0.0,False,PROSPECT
geoapify,51d8d0cef1d7225dc0599e01cf3af4e64040f00102f90140a3a312000000009203144c6120446f6c63652056697461205265736f7274,ca_palm_springs,La Dolce Vita Resort,,33.8043283,-116.5444302,La Dolce Vita Resort,Palm Springs,California,92264,United States,+1 760-325-2686,https://www.ladolcevitaresort.com/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1637,La Dolce Vita Resort,100.0,0.0,False,PROSPECT
geoapify,515c7f19595e135dc05987af18a80cd74040f00102f90171077f370000000092032e456d6261737379205375697465732062792048696c746f6e204c61205175696e746120486f74656c202620537061,ca_palm_springs,Embassy Suites by Hilton La Quinta Hotel & Spa,Embassy Suites,33.6800738,-116.3026335,Embassy Suites by Hilton La Quinta Hotel & Spa,La Quinta,California,92253,United States,+1 760-777-1711,https://www.hilton.com/en/hotels/laqcaes-embassy-suites-la-quinta-hotel-and-spa/,"accommodation,accommodation.hotel",,hotel,,,tier4_upscale,4,Upscale,brand_field,1638,Embassy Suites by Hilton La Quinta Hotel & Spa,100.0,0.0,False,PROSPECT
geoapify,514f1eb34a0b1a5dc0590c57bf1605df4040f00102f9015e659237000000009203234f6d6e692052616e63686f204c61732050616c6d6173205265736f7274202620537061,ca_palm_springs,Omni Rancho Las Palmas Resort & Spa,Omni Hotels & Resorts,33.7423428,-116.4069392,Omni Rancho Las Palmas Resort & Spa,Rancho Mirage,California,92270,United States,+1-760-568-2727,https://www.omnihotels.com/hotels/palm-springs-rancho-las-palmas,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1639,Omni Rancho Las Palmas Resort & Spa,100.0,0.0,False,PROSPECT
geoapify,51d29e6fe293225dc059376b1f6f83e64040f00102f9017e8dae4a0000000092031541636520486f74656c2026205377696d20436c7562,ca_palm_springs,Ace Hotel & Swim Club,Ace Hotel,33.8008861,-116.5402762,Ace Hotel & Swim Club,Palm Springs,California,92264,United States,+1 760-325-9900,https://www.acehotel.com/palmsprings,"accommodation,accommodation.hotel",,hotel,,,tier3_upper_upscale,3,Upper Upscale,name_brand,1640,Ace Hotel & Swim Club,100.0,0.0,False,PROSPECT
geoapify,518b7f876af5225dc0599c3840ad33ea4040f00102f901cbd7fc560000000092031f54686f6d70736f6e2050616c6d20537072696e67732c206279204879617474,ca_palm_springs,"Thompson Palm Springs, by Hyatt",Thompson,33.829702,-116.546229,"Thompson Palm Springs, by Hyatt",Palm Springs,California,92262,United States,+1-760-778-1234,https://www.hyatt.com/thompson-hotels/en-US/pspaz-thompson-palm-springs,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1641,"Thompson Palm Springs, by Hyatt",100.0,0.0,False,PROSPECT
geoapify,51f4dc40c514175dc05959d8d6dd97e04040f00102f901cd64c302000000009203274a57204d617272696f74742044657365727420537072696e6773205265736f7274202620537061,ca_palm_springs,JW Marriott Desert Springs Resort & Spa,JW Marriott,33.7546346,-116.3606427,JW Marriott Desert Springs Resort & Spa,Palm Desert,California,92260,United States,,desertspringsresort.com,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,hotel,tier3_upper_upscale,3,Upper Upscale,name_brand,1642,JW Marriott Desert Springs Resort & Spa,100.0,0.0,False,PROSPECT
geoapify,516fe6e25181225dc059ea515b678de94040f00102f90181102b060000000092031e52656e61697373616e63652050616c6d20537072696e677320486f74656c,ca_palm_springs,Renaissance Palm Springs Hotel,Renaissance,33.8246278,-116.5391431,Renaissance Palm Springs Hotel,Palm Springs,California,92262,United States,,https://www.marriott.com/hotels/travel/pspbr-renaissance-palm-springs-hotel/,"accommodation,accommodation.hotel,building,building.accommodation,wheelchair,wheelchair.yes",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1643,Renaissance Palm Springs Hotel,100.0,0.0,False,PROSPECT
geoapify,510e7c56ea8e1e5dc059b04b1be6f0eb4040f00102f9017f93aa4000000000920333446f75626c65547265652062792048696c746f6e20486f74656c20476f6c66205265736f72742050616c6d20537072696e6773,ca_palm_springs,DoubleTree by Hilton Hotel Golf Resort Palm Springs,DoubleTree,33.8432892,-116.4774729,DoubleTree by Hilton Hotel Golf Resort Palm Springs,Cathedral City,California,92234,United States,,https://www.hilton.com/en/hotels/pspdpdt-doubletree-golf-resort-palm-springs/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier4_upscale,4,Upscale,name_brand,1644,DoubleTree by Hilton Hotel Golf Resort Palm Springs,100.0,0.0,False,PROSPECT
