source,source_id,zone_key,name,brand,latitude,longitude,address,city,state,postcode,country,phone,website,categories,osm_stars,osm_tourism,osm_luxury,osm_building,brand_tier,tier_num,tier_label,classification_method,matched_db_id,matched_db_name,match_score,match_distance_m,client_brand_hint,classification
geoapify,51f42cbc206d5f5ec0599e91e81cf2494340f00102f9018a14320700000000920318487961747420526567656e63792053616372616d656e746f,ca_sacramento,Hyatt Regency Sacramento,Hyatt Regency,38.5777012,-121.4910356,Hyatt Regency Sacramento,Sacramento,California,95814,United States,+1 916-443-1234,https://www.hyatt.com/hyatt-regency/en-us/sacra-hyatt-regency-sacramento,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1664,Hyatt Regency Sacramento,100.0,0.0,False,PROSPECT
geoapify,5185137af6c05b5ec059eaf165feac4d4340f00102f901ba58110f0000000092031c48696c746f6e2053616372616d656e746f20417264656e2057657374,ca_sacramento,Hilton Sacramento Arden West,Hilton,38.6068418,-121.4336525,Hilton Sacramento Arden West,Sacramento,California,95815,United States,+1-916-922-4700,http://www.hiltonsacramentoardenwest.com/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier4_upscale,4,Upscale,name_brand,1665,Hilton Sacramento Arden West,100.0,0.0,False,PROSPECT
geoapify,5176bee8ba9b5f5ec059e9ef8cc8414a4340f00102f9015e7cbc130000000092032754686520436974697a656e20486f74656c2c204175746f677261706820436f6c6c656374696f6e,ca_sacramento,"The Citizen Hotel, Autograph Collection",Autograph Collection,38.5801326,-121.49388,"The Citizen Hotel, Autograph Collection",Sacramento,California,95814,United States,+1 916-447-2700,https://www.thecitizenhotel.com/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1666,"The Citizen Hotel, Autograph Collection",100.0,0.0,False,PROSPECT
geoapify,5168dd731928615ec059a303c1ab65444340f00102f901fec0642c0000000092032c5468652057657374696e2053616372616d656e746f20526976657266726f6e7420486f74656c202620537061,ca_sacramento,The Westin Sacramento Riverfront Hotel & Spa,Westin,38.5343527,-121.5180725,The Westin Sacramento Riverfront Hotel & Spa,Sacramento,California,95822,United States,+1 916 443 8400,https://www.marriott.com/en-us/hotels/sacws-the-westin-sacramento/overview/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1667,The Westin Sacramento Riverfront Hotel & Spa,100.0,0.0,False,PROSPECT
geoapify,5173ce702cb55b5ec0591dac63a7e94c4340f00102f901f2b749050000000092031f446f75626c65547265652062792048696c746f6e2053616372616d656e746f,ca_sacramento,DoubleTree by Hilton Sacramento,DoubleTree,38.6008806,-121.432933,DoubleTree by Hilton Sacramento,Sacramento,California,95815,United States,,https://www.hilton.com/en/hotels/rlsa-dt-doubletree-sacramento/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier4_upscale,4,Upscale,name_brand,1668,DoubleTree by Hilton Sacramento,100.0,0.0,False,PROSPECT
geoapify,513e6cca6f70605ec059a676b1312f4a4340f00102f9013f89e30b0000000092033a456d6261737379205375697465732062792048696c746f6e2053616372616d656e746f202d20526976657266726f6e742050726f6d656e616465,ca_sacramento,Embassy Suites by Hilton Sacramento - Riverfront Promenade,Embassy Suites,38.5795653,-121.5068626,Embassy Suites by Hilton Sacramento - Riverfront Promenade,Sacramento,California,95814,United States,,https://www.hilton.com/en/hotels/saceses-embassy-suites-sacramento-riverfront-promenade/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier4_upscale,4,Upscale,name_brand,1669,Embassy Suites by Hilton Sacramento - Riverfront Promenade,100.0,0.0,False,PROSPECT
geoapify,5158cab92d70605ec059fa2e71f6984a4340f00102f9014f3096150000000092030a44656c7461204b696e67,ca_sacramento,Delta King,Delta Hotels,38.5827931,-121.5068468,Delta King Pier,Sacramento,California,95814,United States,,,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,ship,tier3_upper_upscale,3,Upper Upscale,brand_field,1670,Delta King,100.0,0.0,False,PROSPECT
geoapify,517ef53b49e85f5ec05940270a502e4a4340f00102f901167b46440000000092032148796174742043656e7472696320446f776e746f776e2053616372616d656e746f,ca_sacramento,Hyatt Centric Downtown Sacramento,Hyatt Centric,38.5795384,-121.4985526,Hyatt Centric Downtown Sacramento,Sacramento,California,95814,United States,,https://www.hyatt.com/en-US/hotel/california/hyatt-centric-downtown-sacramento/smfct,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1671,Hyatt Centric Downtown Sacramento,100.0,0.0,False,PROSPECT
geoapify,515ae674595f5f5ec05938085f051d4a4340f00102f901f0bc191a0000000092031f5368657261746f6e204772616e642053616372616d656e746f20486f74656c,ca_sacramento,Sheraton Grand Sacramento Hotel,Sheraton,38.5790107,-121.4901947,Sheraton Grand Sacramento Hotel,Sacramento,California,95814,United States,,,"accommodation,accommodation.hotel",,hotel,,,tier3_upper_upscale,3,Upper Upscale,name_brand,1672,Sheraton Grand Sacramento Hotel,100.0,0.0,False,PROSPECT
geoapify,51b4976721f45f5ec059106c3e656b4a4340f00102f90186d10a2b000000009203144b696d70746f6e2053617779657220486f74656c,ca_sacramento,Kimpton Sawyer Hotel,Kimpton,38.5814025,-121.4992755,Kimpton Sawyer Hotel,Sacramento,California,95814,United States,,,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1673,Kimpton Sawyer Hotel,100.0,0.0,False,PROSPECT
