source,source_id,zone_key,name,brand,latitude,longitude,address,city,state,postcode,country,phone,website,categories,osm_stars,osm_tourism,osm_luxury,osm_building,brand_tier,tier_num,tier_label,classification_method,matched_db_id,matched_db_name,match_score,match_distance_m,client_brand_hint,classification
geoapify,51f16a91d9bb4a5dc059dc63a708a65b4040f00101f90170a66f0000000000920335546865204775696c6420486f74656c2c2053616e20446965676f2c2061205472696275746520506f7274666f6c696f20486f74656c,ca_san_diego,"The Guild Hotel, San Diego, a Tribute Portfolio Hotel",Tribute Portfolio,32.7160045,-117.1677154,"The Guild Hotel, San Diego, a Tribute Portfolio Hotel",San Diego,California,92101,United States,+1-619-795-6000,https://www.theguildhotel.com/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,internet_access.free",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1540,"The Guild Hotel, San Diego, a Tribute Portfolio Hotel",100.0,0.0,False,PROSPECT
geoapify,51e2e5dbfabe4a5dc0596cb19f09de5a4040f00102f90124f3d701000000009203204d616e63686573746572204772616e642048796174742053616e20446965676f,ca_san_diego,Manchester Grand Hyatt San Diego,Hyatt,32.7099011,-117.1679065,Manchester Grand Hyatt San Diego,San Diego,California,92101,United States,+1 619-232-1234,https://manchestergrand.hyatt.com/,"accommodation,accommodation.hotel,building,building.accommodation,wheelchair,wheelchair.yes",,hotel,,hotel,tier3_upper_upscale,3,Upper Upscale,name_brand,1541,Manchester Grand Hyatt San Diego,100.0,0.0,False,PROSPECT
geoapify,51c83fa69d284a5dc059089bed047b5a4040f00102f90197f3d701000000009203144f6d6e692053616e20446965676f20486f74656c,ca_san_diego,Omni San Diego Hotel,,32.7068793,-117.158729,Omni San Diego Hotel,San Diego,California,92101,United States,+1-619-231-6664,https://www.omnihotels.com/hotels/san-diego,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1542,Omni San Diego Hotel,100.0,0.0,False,PROSPECT
geoapify,518e6c4437564a5dc05918b33e29a45b4040f00102f9016695df0100000000920327546865205553204772616e742c2041204c757875727920436f6c6c656374696f6e20486f74656c,ca_san_diego,"The US Grant, A Luxury Collection Hotel",Luxury Collection,32.7159473,-117.1615122,"The US Grant, A Luxury Collection Hotel",San Diego,California,92101,United States,+1-619-232-3121,https://www.marriott.com/hotels/travel/sanlc-the-us-grant-a-luxury-collection-hotel-san-diego,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,wheelchair,wheelchair.yes",,hotel,,yes,tier2_luxury,2,Luxury,name_brand,1543,"The US Grant, A Luxury Collection Hotel",100.0,0.0,False,PROSPECT
geoapify,51ccf0b34b6e4e5dc05927c5402c766f4040f00102f9019981e50100000000920322487961747420526567656e6379204c61204a6f6c6c61206174204176656e74696e65,ca_san_diego,Hyatt Regency La Jolla at Aventine,Hyatt Regency,32.8707939,-117.2254819,Hyatt Regency La Jolla at Aventine,San Diego,California,92122,United States,+1 858-552-1234,https://www.hyatt.com/en-US/hotel/california/hyatt-regency-la-jolla-at-aventine/jolla,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1544,Hyatt Regency La Jolla at Aventine,100.0,0.0,False,PROSPECT
geoapify,514c3ca06c4a4a5dc05924d7009f9f5a4040f00102f901aff2ef010000000092032048696c746f6e2053616e20446965676f204761736c616d702051756172746572,ca_san_diego,Hilton San Diego Gaslamp Quarter,Hilton,32.7079962,-117.1607925,Hilton San Diego Gaslamp Quarter,San Diego,California,92101,United States,+1-619-231-4040,https://www3.hilton.com/en/hotels/california/hilton-san-diego-gaslamp-quarter-SANGQHF/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,hotel,tier4_upscale,4,Upscale,name_brand,1545,Hilton San Diego Gaslamp Quarter,100.0,0.0,False,PROSPECT
geoapify,51e205f42380505dc059f617c8f756664040f00102f901bdcbbd060000000092031550616369666963205465727261636520486f74656c,ca_san_diego,Pacific Terrace Hotel,,32.7995291,-117.2578211,Pacific Terrace Hotel,San Diego,California,92109,United States,+1-858-581-3500,https://www.pacificterrace.com/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1546,Pacific Terrace Hotel,100.0,0.0,False,PROSPECT
geoapify,5148e668d835505dc059d0772b45f26c4040f00102f901782739180000000092030e486f74656c204c61204a6f6c6c61,ca_san_diego,Hotel La Jolla,Curio Collection by Hilton,32.8511435,-117.2532865,Hotel La Jolla,San Diego,California,92037,United States,+1 858-551-3600,https://www.hilton.com/en/hotels/sancuqq-hotel-la-jolla/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,brand_field,1547,Hotel La Jolla,100.0,0.0,False,PROSPECT
geoapify,515d1fd557a2495dc059cac309ebeb614040f00102f90118e47518000000009203275368657261746f6e204d697373696f6e2056616c6c65792053616e20446965676f20486f74656c,ca_san_diego,Sheraton Mission Valley San Diego Hotel,Sheraton,32.7650122,-117.1505336,Sheraton Mission Valley San Diego Hotel,San Diego,California,92108,United States,+1 619 260 0111,https://www.marriott.com/hotels/travel/sanvs-sheraton-mission-valley-san-diego-hotel/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,internet_access.for_customers,wheelchair,wheelchair.yes",,hotel,,yes,tier3_upper_upscale,3,Upper Upscale,name_brand,1548,Sheraton Mission Valley San Diego Hotel,100.0,0.0,False,PROSPECT
geoapify,51e61628c5ac4a5dc0592a6b6ad3d85b4040f00102f901c290a71d0000000092032e486f74656c2052657075626c69632053616e20446965676f2c204175746f677261706820436f6c6c656374696f6e,ca_san_diego,"Hotel Republic San Diego, Autograph Collection",Autograph Collection,32.7175545,-117.1667951,"Hotel Republic San Diego, Autograph Collection",San Diego,California,92101,United States,+1-619-398-3100,https://www.marriott.com/en-us/hotels/sanya-hotel-republic-san-diego-autograph-collection/overview/,"accommodation,accommodation.hotel,internet_access,internet_access.free,wheelchair,wheelchair.yes",,hotel,,,tier3_upper_upscale,3,Upper Upscale,name_brand,1549,"Hotel Republic San Diego, Autograph Collection",100.0,0.0,False,PROSPECT
