source,source_id,zone_key,name,brand,latitude,longitude,address,city,state,postcode,country,phone,website,categories,osm_stars,osm_tourism,osm_luxury,osm_building,brand_tier,tier_num,tier_label,classification_method,matched_db_id,matched_db_name,match_score,match_distance_m,client_brand_hint,classification
geoapify,51da888305e3fa5dc059985c8e35a3374140f00101f901a035d70000000000920326546865205269747a2d4361726c746f6e204261636172612c2053616e74612042617262617261,ca_santa_barbara,"The Ritz-Carlton Bacara, Santa Barbara",The Ritz-Carlton,34.4346683,-119.9201063,"The Ritz-Carlton Bacara, Santa Barbara",Goleta,California,93117,United States,+1-805-968-0100,https://www.ritzcarlton.com/en/hotels/sbarz-the-ritz-carlton-bacara-santa-barbara/overview/,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,internet_access.free,wheelchair,wheelchair.yes",,hotel,,yes,tier2_luxury,2,Luxury,name_brand,1623,"The Ritz-Carlton Bacara, Santa Barbara",100.0,0.0,False,PROSPECT
geoapify,51306b57a5f6ec5dc059996b6a6dd0354140f00102f901190e010e000000009203144b696d70746f6e2043616e61727920486f74656c,ca_santa_barbara,Kimpton Canary Hotel,Kimpton,34.4204232,-119.7025541,Kimpton Canary Hotel,Santa Barbara,California,93101,United States,+1 805-884-0300,https://www.canarysantabarbara.com/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,hotel,tier3_upper_upscale,3,Upper Upscale,name_brand,1624,Kimpton Canary Hotel,100.0,0.0,False,PROSPECT
geoapify,51265960558dec5dc0597b7323af73354140f00102f9017f487a0e0000000092030b447269667420486f74656c,ca_santa_barbara,Drift Hotel,Design Hotels,34.4175929,-119.6961263,Drift Hotel,Santa Barbara,California,93101,United States,+1-855-721-2658,https://www.marriott.com/en-us/hotels/sbadh-drift-santa-barbara-a-member-of-design-hotels/overview/,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,hotel,tier3_upper_upscale,3,Upper Upscale,brand_field,1625,Drift Hotel,100.0,0.0,False,PROSPECT
geoapify,514c12dbe637f45dc0590028e241e9374140f00102f9016548c5160000000092033454686520537465776172642053616e746120426172626172612c2061205472696275746520506f7274666f6c696f20486f74656c,ca_santa_barbara,"The Steward Santa Barbara, a Tribute Portfolio Hotel",,34.436806,-119.815912,"The Steward Santa Barbara, a Tribute Portfolio Hotel",Goleta,California,93111,United States,+1 805-683-6722,https://thestewardsb.com/,"accommodation,accommodation.hotel",,hotel,,,tier3_upper_upscale,3,Upper Upscale,name_brand,1626,"The Steward Santa Barbara, a Tribute Portfolio Hotel",100.0,0.0,False,PROSPECT
geoapify,518fa9bbb28bf45dc059919e976890384140f00102f9018980f0260000000092033c546865204c6574612053616e7461204261726261726120476f6c6574612c20546170657374727920436f6c6c656374696f6e2062792048696c746f6e,ca_santa_barbara,"The Leta Santa Barbara Goleta, Tapestry Collection by Hilton",Tapestry Collection,34.441907,-119.8210265,"The Leta Santa Barbara Goleta, Tapestry Collection by Hilton",Goleta,California,93117,United States,+1-805-964-6241,https://www.hilton.com/en/hotels/sbactup-the-leta-santa-barbara-goleta/,"accommodation,accommodation.hotel,internet_access,internet_access.free",,hotel,,,tier3_upper_upscale,3,Upper Upscale,name_brand,1627,"The Leta Santa Barbara Goleta, Tapestry Collection by Hilton",100.0,0.0,False,PROSPECT
geoapify,514eb4b7315c1d5ec059c4c1dd5ff3534140f00102f901e4f882370000000092032d456d6261737379205375697465732062792048696c746f6e204c6f6d706f632043656e7472616c20436f617374,ca_santa_barbara,Embassy Suites by Hilton Lompoc Central Coast,Embassy Suites,34.6558647,-120.4587521,Embassy Suites by Hilton Lompoc Central Coast,Lompoc,California,93436,United States,+1 805-735-8311,https://www.embassysuiteslompoc.com/,"accommodation,accommodation.hotel,building,building.accommodation,wheelchair,wheelchair.limited",,hotel,,yes,tier4_upscale,4,Upscale,name_brand,1628,Embassy Suites by Hilton Lompoc Central Coast,100.0,0.0,False,PROSPECT
geoapify,51392945c2dbea5dc059a6dbc79e73354140f00102f901140bf1570000000092030f4d6172204d6f6e746520486f74656c,ca_santa_barbara,Mar Monte Hotel,Unbound Collection,34.417591,-119.669663,Mar Monte Hotel,Santa Barbara,California,93103,United States,+1 805-882-1234,https://www.hyatt.com/en-us/hotel/california/mar-monte-hotel/sbars,"accommodation,accommodation.hotel",,hotel,,,tier3_upper_upscale,3,Upper Upscale,brand_field,1629,Mar Monte Hotel,100.0,0.0,False,PROSPECT
geoapify,51e9f45e1114e95dc0593f8c20bd72354140f00102f901d2692a270000000092032f466f757220536561736f6e73205265736f72743a205468652042696c746d6f72652053616e74612042617262617261,ca_santa_barbara,Four Seasons Resort: The Biltmore Santa Barbara,Four Seasons,34.417564,-119.6418498,Four Seasons Resort: The Biltmore Santa Barbara,Montecito,California,93108,United States,,,"accommodation,accommodation.hotel",,hotel,,,tier2_luxury,2,Luxury,name_brand,1630,Four Seasons Resort: The Biltmore Santa Barbara,100.0,0.0,False,PROSPECT
geoapify,51181a10142e2b5ec059c00f234c2ca14140f00101f901ce3f5d0000000000920328456d6261737379205375697465732062792048696c746f6e2053616e204c756973204f626973706f,ca_santa_barbara,Embassy Suites by Hilton San Luis Obispo,Embassy Suites,35.2591644,-120.6746874,Embassy Suites by Hilton San Luis Obispo,San Luis Obispo,California,93405,United States,,,"accommodation,accommodation.hotel,building,building.accommodation,internet_access,internet_access.free,wheelchair,wheelchair.yes",,hotel,,yes,tier4_upscale,4,Upscale,name_brand,1631,Embassy Suites by Hilton San Luis Obispo,100.0,0.0,False,PROSPECT
geoapify,51e26e37e94fe85dc0593a033f88e4354140f00102f901b3a5c40e0000000092031c526f7365776f6f64204d6972616d617220426561636820486f74656c,ca_santa_barbara,Rosewood Miramar Beach Hotel,,34.4210368,-119.6298774,Rosewood Miramar Beach Hotel,Montecito,California,93108,United States,,,"accommodation,accommodation.hotel",,hotel,,,tier1_ultra_luxury,1,Ultra Luxury,name_brand,1632,Rosewood Miramar Beach Hotel,100.0,0.0,False,PROSPECT
geoapify,5163cbca8e37e85dc0591c1e390bd6354140f00102f901b4a5c40e0000000092031c526f7365776f6f64204d6972616d617220426561636820486f74656c,ca_santa_barbara,Rosewood Miramar Beach Hotel,,34.4205946,-119.628391,Rosewood Miramar Beach Hotel,Montecito,California,93108,United States,,,"accommodation,accommodation.hotel",,hotel,,,tier1_ultra_luxury,1,Ultra Luxury,name_brand,1632,Rosewood Miramar Beach Hotel,100.0,144.9,False,PROSPECT
geoapify,512a6682743feb5dc05956af436e61354140f00102f901f7dd9e1d0000000092031f5468652046657373205061726b6572202d2048696c746f6e205265736f7274,ca_santa_barbara,The Fess Parker - Hilton Resort,,34.4170359,-119.675748,The Fess Parker - Hilton Resort,Santa Barbara,California,93103,United States,,,"accommodation,accommodation.hotel,building,building.accommodation",,hotel,,yes,tier4_upscale,4,Upscale,name_brand,1634,The Fess Parker - Hilton Resort,100.0,0.0,False,PROSPECT
